epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8484,1.55936,2.68736,1.59975,0.00833,0.69917,0.01516,0.00512,2.53356,3.91792,2.87616,0.0865,0.0015,0.0015
2,103.291,1.94606,2.63139,1.84188,0.00096,0.03853,0.00083,0.00019,4.82104,28.9968,19.0691,0.0719465,0.00294655,0.00294655
3,138.762,2.1384,2.68015,2.10387,0.00495,0.45591,0.0045,0.00185,3.22651,1017.51,17.9866,0.0572347,0.0042347,0.0042347
4,176.824,2.02402,2.54889,1.97161,0.00402,0.50591,0.00508,0.00182,3.44181,2306.52,19.7703,0.0423644,0.00536445,0.00536445
5,221.788,2.01085,2.41819,1.94067,0.00364,0.24726,0.00291,0.00076,3.4032,3058.05,14.1853,0.0273358,0.0063358,0.0063358
6,266.739,1.97248,2.4305,1.91048,0.00695,0.33016,0.00582,0.00116,3.14831,2850.53,11.838,0.0121487,0.00714875,0.00714875
7,309.98,1.92521,2.31965,1.81922,0.11611,0.17122,0.04344,0.01252,3.19924,413.039,8.11587,0.00703,0.00703,0.00703
8,353.157,1.89438,2.30238,1.85327,0.04352,0.54191,0.10988,0.03669,3.09312,64.7711,5.69639,0.006535,0.006535,0.006535
9,395.954,1.97335,2.32891,1.94767,0.4684,0.33728,0.21592,0.07779,2.86745,14.1425,4.27257,0.00604,0.00604,0.00604
10,439.061,1.80506,2.16214,1.77049,0.16403,0.45291,0.2967,0.1184,2.35374,21.9606,3.26568,0.005545,0.005545,0.005545
11,479.79,1.72988,2.42394,1.819,0.55083,0.36924,0.45061,0.21547,1.7946,5.57901,2.07045,0.00505,0.00505,0.00505
12,521.955,1.6702,2.28507,1.7366,0.43489,0.53816,0.43653,0.2246,1.81929,4.88999,2.10142,0.004555,0.004555,0.004555
13,562.368,1.61245,2.21352,1.71276,0.4103,0.59374,0.42741,0.17695,1.98097,6.94571,2.42126,0.00406,0.00406,0.00406
14,604.622,1.57267,2.16332,1.70737,0.40969,0.63419,0.50031,0.26421,1.60535,4.97884,1.93143,0.003565,0.003565,0.003565
15,645.7,1.62715,2.0289,1.68315,0.47602,0.59735,0.55219,0.28257,1.58693,4.7427,1.90195,0.00307,0.00307,0.00307
16,686.441,1.53314,1.90756,1.59735,0.52834,0.63603,0.62698,0.34686,1.50589,3.05443,1.75317,0.002575,0.002575,0.002575
17,727.942,1.48429,1.7658,1.60392,0.62582,0.68344,0.67623,0.38624,1.39782,2.25522,1.61917,0.00208,0.00208,0.00208
18,768.364,1.51269,1.72822,1.69307,0.67773,0.66481,0.71663,0.40964,1.39525,1.83102,1.58626,0.001585,0.001585,0.001585
19,811.739,1.37703,1.62374,1.54317,0.66403,0.76825,0.75127,0.44459,1.37795,1.64163,1.55033,0.00109,0.00109,0.00109
20,853.612,1.43695,1.63661,1.59651,0.68111,0.74688,0.76624,0.46593,1.35958,1.60193,1.52244,0.000595,0.000595,0.000595
